kind	status	output	command
update	0	graphify-out/workspace-audit-runs/20260428T045222Z/update_refresh_root_graph.md	graphify update .
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_cross_community_bridge_risk.md	graphify query Use\ the\ current\ graph\ report\ to\ rank\ the\ top\ 12\ correctness\ risks\ at\ cross-community\ bridges.\ Focus\ on\ RegistryService\,\ get\(\)\,\ StateWatcher\,\ normalizeEvmAddress\(\)\,\ normalizeProtocolKey\(\)\,\ log\(\)\,\ RpcManager\,\ WorkerPool\,\ recommendGasParams\(\)\,\ discoverProtocol\(\)\,\ RouteCache\,\ NonceManager\,\ index.ts\ config\,\ and\ startMetricsServer.\ For\ each\ risk\,\ name\ owner\ files/functions\,\ the\ concrete\ invariant\ that\ should\ be\ checked\ in\ source\,\ and\ the\ cheapest\ verification\ command. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_profitable_trade_correctness.md	graphify query Audit\ the\ end-to-end\ profitable\ trade\ path\ from\ discovery\ and\ state\ normalization\ through\ route\ search\,\ simulation\,\ scoring\,\ computeProfit\,\ revalidation\,\ gas\ policy\,\ transaction\ building\,\ private/public\ submission\,\ and\ receipt\ handling.\ Identify\ credible\ places\ where\ a\ route\ could\ be\ ranked\ profitable\ but\ be\ stale\,\ unit-mismatched\,\ unexecutable\,\ or\ unsafe. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_state_freshness_and_rollback_correctness.md	graphify query Trace\ state\ freshness\ across\ discoverPools\,\ warmupStateCache\,\ reloadCacheFromRegistry\,\ StateWatcher\,\ watcher_state_ops\,\ rollbackToBlock\,\ RouteCache\,\ getPathFreshness\,\ and\ simulateHop.\ Rank\ concrete\ stale-state\,\ mixed-time-state\,\ reorg\,\ checkpoint\,\ and\ cache-divergence\ failure\ modes. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_discovery_coverage_and_topology_admission.md	graphify query Audit\ discovery\ coverage\ and\ topology\ admission\ from\ HyperSync\ scans\ through\ RegistryService\ upserts\,\ token\ metadata\ hydration\,\ state\ cache\ seeding\,\ refreshCycles\,\ buildGraph\,\ buildHubGraph\,\ and\ path\ enumeration.\ Identify\ correctness\ gaps\ that\ can\ hide\ pools\,\ admit\ bad\ pools\,\ or\ miss\ executable\ cycles. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_gas_math_and_token_unit_parity.md	graphify query Inspect\ gas\ and\ token-unit\ parity\ across\ scoreRoute\,\ estimateGasCostWei\,\ computeProfit\,\ gasCostInTokenUnits\,\ PriceOracle\ tokenToMaticRate\ flows\,\ recommendGasParams\,\ buildArbTx\,\ and\ sendTx.\ Find\ any\ duplicated\ gas\ math\,\ denomination\ assumptions\,\ rounding\ hazards\,\ or\ cases\ where\ start\ token\ decimals\ can\ distort\ profitability. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_execution_and_abi_safety.md	graphify query Audit\ execution\ ABI\ and\ calldata\ safety\ across\ buildArbTx\,\ encodeExecuteArb\,\ buildFlashParams\,\ assertValidRouteForExecution\,\ resolveFlashLoan\,\ gasEstimateCacheKeyForRoute\,\ dryRun\,\ NonceManager\,\ sendTx\,\ sendTxBundle\,\ and\ private\ transaction\ fallbacks.\ Identify\ places\ where\ simulation\ can\ pass\ but\ execution\ can\ fail\ because\ of\ route\ identity\,\ approvals\,\ nonce\,\ account\,\ or\ calldata\ shape. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_rpc_resilience_and_endpoint_optimization.md	graphify query Trace\ RPC\ resilience\ and\ endpoint\ selection\ across\ RpcManager\,\ executeWithRpcRetry\,\ readContractWithRetry\,\ multicallWithRetry\,\ estimateGas\,\ fetchGasPrice\,\ fetchEIP1559Fees\,\ GasOracle\,\ and\ private\ tx\ submission.\ Identify\ retry-budget\,\ failover\,\ cooldown\,\ probe\,\ rate-limit\,\ and\ latency-selection\ improvements\ that\ would\ reduce\ incorrect\ failures\ or\ slow\ paths. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_database_transaction_and_cache_consistency.md	graphify query Audit\ SQLite\ transaction\ semantics\,\ registry\ persistence\,\ statement\ caching\,\ rollback\ guards\,\ checkpoint\ writes\,\ pool/token\ metadata\ writes\,\ history\ writes\,\ registry\ meta\ cache\,\ stateCache\,\ RouteCache\,\ and\ topology\ cache.\ Rank\ risks\ for\ partial\ writes\,\ stale\ reads\,\ duplicate\ rows\,\ migration\ drift\,\ and\ cache\ ownership\ confusion. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_math_invariant_and_precision_audit.md	graphify query Audit\ math\ invariants\ and\ precision\ across\ V2\,\ V3\,\ Curve\,\ Balancer\,\ and\ DODO\ simulation\ paths.\ Focus\ on\ rounding\ direction\,\ zero/negative\ liquidity\ handling\,\ fee\ units\,\ decimal\ assumptions\,\ tick\ math\,\ stable\ invariant\ convergence\,\ silent\ zero\ returns\,\ and\ false-negative\ route\ pruning. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_hot_path_optimization_opportunities.md	graphify query Find\ the\ highest-leverage\ runtime\ optimization\ opportunities\ in\ discovery\,\ watcher\ ingestion\,\ registry\ reads/writes\,\ topology\ refresh\,\ route\ enumeration\,\ route\ evaluation\,\ worker\ IPC\,\ gas\ estimation\,\ RPC\ calls\,\ logging\,\ and\ TUI\ rendering.\ Prioritize\ changes\ that\ reduce\ latency\ or\ wasted\ work\ without\ weakening\ correctness. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_startup_warmup_and_hang_risks.md	graphify query Audit\ startup\,\ warmup\,\ and\ post-warmup\ liveness\ from\ boot_mode\,\ startup\ coordinator\,\ createWarmupManager\,\ warmupStateCache\,\ seedStateCache\,\ workerPool.init\,\ startMetricsServer\,\ startTui\,\ heartbeat\ scheduling\,\ watcher\ start\,\ and\ runAfterBootstrap.\ Identify\ credible\ hangs\,\ promise\ leaks\,\ blocked\ background\ tasks\,\ metrics\ bind\ hazards\,\ warmup\ restart\ loops\,\ and\ cases\ where\ warmup\ completes\ but\ the\ bot\ stops\ making\ progress. --budget 800
